X	Freq	Value
-0.839	1289.1	0.0117
-0.839	1453.1	0.0054
-0.839	1617.2	-0.0402
-0.839	1781.2	-0.0111
-0.839	1945.3	-0.0071
-0.839	2109.4	-0.0065
-0.839	2273.4	0.0042
-0.839	2437.5	-0.0104
-0.839	2601.6	0.0053
-0.839	2765.6	-0.0027
-0.839	2929.7	-0.0116
-0.839	3093.8	-0.0024
-0.839	3257.8	0.0043
-0.839	3421.9	-0.0049
-0.839	3585.9	0.0039
-0.839	3750.0	-0.0069
-0.839	3914.1	0.0013
-0.839	4054.7	-0.0034
-0.839	4218.8	-0.0013
-0.839	4382.8	0.0037
-0.839	4546.9	-0.0029
-0.839	4710.9	0.0042
-0.839	4875.0	0.0055
-0.839	5039.1	0.0007
-0.839	5203.1	-0.0051
-0.839	5367.2	-0.0027
-0.839	5531.2	0.0059
-0.839	5695.3	0.0083
-0.839	5859.4	-0.0023
-0.839	6023.4	0.0089
-0.839	6187.5	0.0057
-0.839	6351.6	-0.0023
-0.839	6515.6	0.0085
-0.839	6679.7	-0.0020
-0.839	6843.8	0.0088
-0.839	7007.8	-0.0062
-0.839	7171.9	0.0063
-0.839	7335.9	0.0017
-0.839	7500.0	-0.0049
-0.839	7664.1	-0.0028
-0.839	7828.1	0.0038
-0.839	7992.2	0.0002

-0.799	0.0	0.3108
-0.799	140.6	0.0198
-0.799	304.7	-0.2750
-0.799	468.8	0.0037
-0.799	632.8	0.0052
-0.799	796.9	-0.0144
-0.799	960.9	0.0034
-0.799	1125.0	-0.0161
-0.799	1289.1	0.0181
-0.799	1453.1	0.0017
-0.799	1617.2	-0.0217
-0.799	1781.2	-0.0088
-0.799	1945.3	-0.0084
-0.799	2109.4	-0.0014
-0.799	2273.4	0.0092
-0.799	2437.5	-0.0078
-0.799	2601.6	-0.0017
-0.799	2765.6	0.0070
-0.799	2929.7	-0.0093
-0.799	3093.8	-0.0047
-0.799	3257.8	-0.0029
-0.799	3421.9	-0.0043
-0.799	3585.9	0.0020
-0.799	3750.0	-0.0077
-0.799	3914.1	0.0079
-0.799	4054.7	-0.0059
-0.799	4218.8	0.0086
-0.799	4382.8	-0.0050
-0.799	4546.9	-0.0021
-0.799	4710.9	-0.0064
-0.799	4875.0	-0.0023
-0.799	5039.1	-0.0075
-0.799	5203.1	0.0062
-0.799	5367.2	0.0013
-0.799	5531.2	-0.0057
-0.799	5695.3	-0.0076
-0.799	5859.4	-0.0014
-0.799	6023.4	-0.0061
-0.799	6187.5	-0.0010
-0.799	6351.6	0.0067
-0.799	6515.6	-0.0084
-0.799	6679.7	0.0026
-0.799	6843.8	-0.0060
-0.799	7007.8	0.0044
-0.799	7171.9	-0.0078
-0.799	7335.9	-0.0012
-0.799	7500.0	0.0045
-0.799	7664.1	0.0028
-0.799	7828.1	-0.0038
-0.799	7992.2	-0.0007

-0.759	0.0	0.3108
-0.759	140.6	0.0181
-0.759	304.7	-0.2654
-0.759	468.8	0.0011
-0.759	632.8	0.0032
-0.759	796.9	-0.0014
-0.759	960.9	0.0005
-0.759	1125.0	-0.0357
-0.759	1289.1	0.0197
-0.759	1453.1	-0.0025
-0.759	1617.2	0.0061
-0.759	1781.2	-0.0021
-0.759	1945.3	-0.0047
-0.759	2109.4	0.0047
-0.759	2273.4	0.0070
-0.759	2437.5	0.0018
-0.759	2601.6	-0.0071
-0.759	2765.6	0.0089
-0.759	2929.7	0.0048
-0.759	3093.8	-0.0006
-0.759	3257.8	-0.0058
-0.759	3421.9	0.0033
-0.759	3585.9	-0.0034
-0.759	3750.0	0.0061
-0.759	3914.1	-0.0015
-0.759	4054.7	0.0042
-0.759	4218.8	-0.0011
-0.759	4382.8	-0.0017
-0.759	4546.9	0.0040
-0.759	4710.9	0.0001
-0.759	4875.0	-0.0036
-0.759	5039.1	0.0061
-0.759	5203.1	-0.0013
-0.759	5367.2	0.0011
-0.759	5531.2	0.0013
-0.759	5695.3	0.0020
-0.759	5859.4	0.0042
-0.759	6023.4	0.0007
-0.759	6187.5	-0.0038
-0.759	6351.6	-0.0087
-0.759	6515.6	0.0064
-0.759	6679.7	-0.0026
-0.759	6843.8	0.0029
-0.759	7007.8	-0.0025
-0.759	7171.9	0.0086
-0.759	7335.9	0.0008
-0.759	7500.0	-0.0043
-0.759	7664.1	-0.0027
-0.759	7828.1	0.0035
-0.759	7992.2	0.0017

-0.719	0.0	0.3108
-0.719	140.6	0.0163
-0.719	304.7	-0.2515
-0.719	468.8	-0.0015
-0.719	632.8	0.0010
-0.719	796.9	0.0120
-0.719	960.9	-0.0025
-0.719	1125.0	-0.0481
-0.719	1289.1	0.0159
-0.719	1453.1	-0.0060
-0.719	1617.2	0.0317
-0.719	1781.2	0.0058
-0.719	1945.3	0.0020
-0.719	2109.4	0.0075
-0.719	2273.4	-0.0010
-0.719	2437.5	0.0099
-0.719	2601.6	-0.0051
-0.719	2765.6	0.0004
-0.719	2929.7	0.0127
-0.719	3093.8	0.0044
-0.719	3257.8	0.0003
-0.719	3421.9	0.0054
-0.719	3585.9	-0.0027
-0.719	3750.0	0.0080
-0.719	3914.1	-0.0077
-0.719	4054.7	0.0050
-0.719	4218.8	-0.0082
-0.719	4382.8	0.0058
-0.719	4546.9	-0.0003
-0.719	4710.9	0.0062
-0.719	4875.0	0.0053
-0.719	5039.1	0.0015
-0.719	5203.1	-0.0047
-0.719	5367.2	-0.0026
-0.719	5531.2	0.0038
-0.719	5695.3	0.0045
-0.719	5859.4	-0.0048
-0.719	6023.4	0.0048
-0.719	6187.5	0.0071
-0.719	6351.6	0.0084
-0.719	6515.6	-0.0032
-0.719	6679.7	0.0023
-0.719	6843.8	0.0001
-0.719	7007.8	0.0008
-0.719	7171.9	-0.0090
-0.719	7335.9	-0.0006
-0.719	7500.0	0.0042
-0.719	7664.1	0.0028
-0.719	7828.1	-0.0028
-0.719	7992.2	-0.0031

-0.678	0.0	0.3108
-0.678	140.6	0.0144
-0.678	304.7	-0.2332
-0.678	468.8	-0.0042
-0.678	632.8	-0.0013
-0.678	796.9	0.0243
-0.678	960.9	-0.0052
-0.678	1125.0	-0.0501
-0.678	1289.1	0.0075
-0.678	1453.1	-0.0073
-0.678	1617.2	0.0435
-0.678	1781.2	0.0107
-0.678	1945.3	0.0074
-0.678	2109.4	0.0048
-0.678	2273.4	-0.0083
-0.678	2437.5	0.0085
-0.678	2601.6	0.0025
-0.678	2765.6	-0.0086
-0.678	2929.7	0.0038
-0.678	3093.8	0.0030
-0.678	3257.8	0.0059
-0.678	3421.9	-0.0019
-0.678	3585.9	0.0031
-0.678	3750.0	-0.0061
-0.678	3914.1	0.0026
-0.678	4054.7	-0.0055
-0.678	4218.8	0.0043
-0.678	4382.8	-0.0014
-0.678	4546.9	-0.0038
-0.678	4710.9	-0.0049
-0.678	4875.0	-0.0013
-0.678	5039.1	-0.0075
-0.678	5203.1	0.0065
-0.678	5367.2	0.0022
-0.678	5531.2	-0.0064
-0.678	5695.3	-0.0084
-0.678	5859.4	0.0032
-0.678	6023.4	-0.0082
-0.678	6187.5	-0.0081
-0.678	6351.6	-0.0062
-0.678	6515.6	-0.0001
-0.678	6679.7	-0.0018
-0.678	6843.8	-0.0027
-0.678	7007.8	0.0006
-0.678	7171.9	0.0091
-0.678	7335.9	0.0005
-0.678	7500.0	-0.0043
-0.678	7664.1	-0.0029
-0.678	7828.1	0.0018
-0.678	7992.2	0.0047

-0.638	0.0	0.3108
-0.638	140.6	0.0125
-0.638	304.7	-0.2107
-0.638	468.8	-0.0067
-0.638	632.8	-0.0036
-0.638	796.9	0.0340
-0.638	960.9	-0.0070
-0.638	1125.0	-0.0407
-0.638	1289.1	-0.0033
-0.638	1453.1	-0.0059
-0.638	1617.2	0.0356
-0.638	1781.2	0.0098
-0.638	1945.3	0.0081
-0.638	2109.4	-0.0016
-0.638	2273.4	-0.0084
-0.638	2437.5	-0.0012
-0.638	2601.6	0.0073
-0.638	2765.6	-0.0070
-0.638	2929.7	-0.0104
-0.638	3093.8	-0.0029
-0.638	3257.8	0.0018
-0.638	3421.9	-0.0058
-0.638	3585.9	0.0030
-0.638	3750.0	-0.0077
-0.638	3914.1	0.0072
-0.638	4054.7	-0.0033
-0.638	4218.8	0.0062
-0.638	4382.8	-0.0049
-0.638	4546.9	0.0030
-0.638	4710.9	-0.0020
-0.638	4875.0	-0.0040
-0.638	5039.1	0.0066
-0.638	5203.1	-0.0032
-0.638	5367.2	-0.0002
-0.638	5531.2	0.0052
-0.638	5695.3	0.0080
-0.638	5859.4	-0.0005
-0.638	6023.4	0.0089
-0.638	6187.5	0.0071
-0.638	6351.6	0.0032
-0.638	6515.6	0.0031
-0.638	6679.7	0.0012
-0.638	6843.8	0.0046
-0.638	7007.8	-0.0016
-0.638	7171.9	-0.0091
-0.638	7335.9	-0.0005
-0.638	7500.0	0.0046
-0.638	7664.1	0.0029
-0.638	7828.1	-0.0004
-0.638	7992.2	-0.0063

-0.598	0.0	0.3108
-0.598	140.6	0.0104
-0.598	304.7	-0.1841
-0.598	468.8	-0.0090
-0.598	632.8	-0.0056
-0.598	796.9	0.0398
-0.598	960.9	-0.0076
-0.598	1125.0	-0.0218
-0.598	1289.1	-0.0132
-0.598	1453.1	-0.0023
-0.598	1617.2	0.0107
