X	Freq	Value
-0.839	1125.0	0.0849
-0.839	1289.1	-0.0203
-0.839	1453.1	-0.0258
-0.839	1617.2	0.0086
-0.839	1781.2	0.0097
-0.839	1945.3	0.0010
-0.839	2109.4	0.0161
-0.839	2273.4	-0.0014
-0.839	2437.5	-0.0043
-0.839	2601.6	0.0180
-0.839	2765.6	-0.0022
-0.839	2929.7	0.0045
-0.839	3093.8	0.0067
-0.839	3257.8	-0.0194
-0.839	3421.9	0.0120
-0.839	3585.9	-0.0012
-0.839	3750.0	-0.0060
-0.839	3914.1	0.0072
-0.839	4054.7	0.0061
-0.839	4218.8	-0.0040
-0.839	4382.8	0.0032
-0.839	4546.9	0.0138
-0.839	4710.9	0.0025
-0.839	4875.0	-0.0147
-0.839	5039.1	-0.0065
-0.839	5203.1	0.0000
-0.839	5367.2	0.0025
-0.839	5531.2	-0.0048
-0.839	5695.3	-0.0046
-0.839	5859.4	-0.0009
-0.839	6023.4	-0.0092
-0.839	6187.5	0.0044
-0.839	6351.6	0.0120
-0.839	6515.6	-0.0126
-0.839	6679.7	-0.0021
-0.839	6843.8	0.0022
-0.839	7007.8	-0.0078
-0.839	7171.9	-0.0011
-0.839	7335.9	-0.0062
-0.839	7500.0	0.0121
-0.839	7664.1	0.0049
-0.839	7828.1	-0.0018
-0.839	7992.2	0.0053

-0.799	0.0	0.0003
-0.799	140.6	-0.0605
-0.799	304.7	0.0477
-0.799	468.8	-0.0286
-0.799	632.8	0.0289
-0.799	796.9	-0.0826
-0.799	960.9	0.0101
-0.799	1125.0	0.0415
-0.799	1289.1	-0.0330
-0.799	1453.1	-0.0304
-0.799	1617.2	-0.0294
-0.799	1781.2	0.0003
-0.799	1945.3	0.0220
-0.799	2109.4	-0.0088
-0.799	2273.4	-0.0096
-0.799	2437.5	-0.0173
-0.799	2601.6	-0.0176
-0.799	2765.6	-0.0147
-0.799	2929.7	-0.0098
-0.799	3093.8	-0.0252
-0.799	3257.8	0.0022
-0.799	3421.9	-0.0263
-0.799	3585.9	0.0098
-0.799	3750.0	-0.0034
-0.799	3914.1	-0.0130
-0.799	4054.7	-0.0012
-0.799	4218.8	0.0095
-0.799	4382.8	0.0003
-0.799	4546.9	-0.0098
-0.799	4710.9	-0.0015
-0.799	4875.0	0.0033
-0.799	5039.1	-0.0040
-0.799	5203.1	-0.0110
-0.799	5367.2	0.0006
-0.799	5531.2	0.0040
-0.799	5695.3	-0.0026
-0.799	5859.4	-0.0087
-0.799	6023.4	0.0059
-0.799	6187.5	0.0123
-0.799	6351.6	-0.0089
-0.799	6515.6	-0.0015
-0.799	6679.7	-0.0072
-0.799	6843.8	0.0052
-0.799	7007.8	-0.0167
-0.799	7171.9	-0.0047
-0.799	7335.9	0.0012
-0.799	7500.0	-0.0003
-0.799	7664.1	-0.0105
-0.799	7828.1	-0.0009
-0.799	7992.2	-0.0017

-0.759	0.0	0.0003
-0.759	140.6	-0.0610
-0.759	304.7	0.0805
-0.759	468.8	-0.0388
-0.759	632.8	-0.0089
-0.759	796.9	-0.1182
-0.759	960.9	0.0220
-0.759	1125.0	-0.0159
-0.759	1289.1	-0.0307
-0.759	1453.1	-0.0231
-0.759	1617.2	-0.0392
-0.759	1781.2	-0.0083
-0.759	1945.3	0.0201
-0.759	2109.4	-0.0132
-0.759	2273.4	-0.0174
-0.759	2437.5	-0.0005
-0.759	2601.6	-0.0148
-0.759	2765.6	-0.0132
-0.759	2929.7	-0.0206
-0.759	3093.8	0.0155
-0.759	3257.8	0.0025
-0.759	3421.9	0.0014
-0.759	3585.9	-0.0039
-0.759	3750.0	0.0118
-0.759	3914.1	0.0131
-0.759	4054.7	0.0187
-0.759	4218.8	0.0002
-0.759	4382.8	0.0045
-0.759	4546.9	-0.0004
-0.759	4710.9	0.0072
-0.759	4875.0	-0.0045
-0.759	5039.1	0.0050
-0.759	5203.1	-0.0052
-0.759	5367.2	-0.0114
-0.759	5531.2	-0.0037
-0.759	5695.3	0.0066
-0.759	5859.4	-0.0024
-0.759	6023.4	0.0116
-0.759	6187.5	-0.0107
-0.759	6351.6	-0.0165
-0.759	6515.6	0.0049
-0.759	6679.7	0.0005
-0.759	6843.8	-0.0003
-0.759	7007.8	0.0136
-0.759	7171.9	0.0126
-0.759	7335.9	0.0023
-0.759	7500.0	-0.0118
-0.759	7664.1	-0.0025
-0.759	7828.1	0.0014
-0.759	7992.2	-0.0068

-0.719	0.0	0.0003
-0.719	140.6	-0.0621
-0.719	304.7	0.1131
-0.719	468.8	-0.0451
-0.719	632.8	-0.0449
-0.719	796.9	-0.1390
-0.719	960.9	0.0316
-0.719	1125.0	-0.0559
-0.719	1289.1	-0.0175
-0.719	1453.1	-0.0044
-0.719	1617.2	-0.0029
-0.719	1781.2	-0.0059
-0.719	1945.3	-0.0038
-0.719	2109.4	0.0088
-0.719	2273.4	-0.0027
-0.719	2437.5	0.0113
-0.719	2601.6	0.0162
-0.719	2765.6	0.0062
-0.719	2929.7	-0.0011
-0.719	3093.8	0.0334
-0.719	3257.8	-0.0064
-0.719	3421.9	-0.0013
-0.719	3585.9	0.0041
-0.719	3750.0	0.0101
-0.719	3914.1	-0.0043
-0.719	4054.7	-0.0016
-0.719	4218.8	-0.0148
-0.719	4382.8	0.0030
-0.719	4546.9	-0.0037
-0.719	4710.9	-0.0082
-0.719	4875.0	0.0166
-0.719	5039.1	0.0039
-0.719	5203.1	-0.0028
-0.719	5367.2	-0.0038
-0.719	5531.2	0.0032
-0.719	5695.3	0.0067
-0.719	5859.4	0.0051
-0.719	6023.4	0.0027
-0.719	6187.5	0.0041
-0.719	6351.6	0.0011
-0.719	6515.6	-0.0027
-0.719	6679.7	0.0025
-0.719	6843.8	0.0033
-0.719	7007.8	0.0127
-0.719	7171.9	0.0003
-0.719	7335.9	0.0045
-0.719	7500.0	-0.0043
-0.719	7664.1	0.0128
-0.719	7828.1	0.0007
-0.719	7992.2	0.0010

-0.678	0.0	0.0003
-0.678	140.6	-0.0636
-0.678	304.7	0.1440
-0.678	468.8	-0.0468
-0.678	632.8	-0.0744
-0.678	796.9	-0.1403
-0.678	960.9	0.0374
-0.678	1125.0	-0.0539
-0.678	1289.1	-0.0033
-0.678	1453.1	0.0169
-0.678	1617.2	0.0568
-0.678	1781.2	0.0066
-0.678	1945.3	-0.0224
-0.678	2109.4	0.0252
-0.678	2273.4	0.0224
-0.678	2437.5	-0.0078
-0.678	2601.6	0.0096
-0.678	2765.6	0.0114
-0.678	2929.7	0.0097
-0.678	3093.8	-0.0157
-0.678	3257.8	0.0137
-0.678	3421.9	-0.0341
-0.678	3585.9	0.0101
-0.678	3750.0	0.0069
-0.678	3914.1	-0.0090
-0.678	4054.7	-0.0023
-0.678	4218.8	0.0046
-0.678	4382.8	-0.0023
-0.678	4546.9	-0.0076
-0.678	4710.9	0.0060
-0.678	4875.0	-0.0004
-0.678	5039.1	0.0084
-0.678	5203.1	0.0094
